L,T,avg_energy,std_energy,specific_heat,avg_magnetization,avg_abs_magnetization,std_magnetization,susceptibility
10,1.605,-192.72133333333332,8.269797149198334,0.2654847871775092,-0.9793293333333334,0.9793293333333334,0.02647823394580706,4.368204815505685e-06
10,1.62,-192.2492,8.586704802192749,0.28094611857948926,-0.9778506666666668,0.9778506666666668,0.02784469487871773,4.785969338818009e-06
10,1.635,-191.79906666666668,8.827511491291807,0.29150168477731064,-0.976392,0.976392,0.02917799974866909,5.2070683139641744e-06
10,1.65,-191.41186666666667,9.122819329327724,0.3056963545107668,-0.975142,0.975142,0.030376523325313803,5.5923222383838425e-06
10,1.665,-190.96386666666666,9.324034948216118,0.31360235087539207,-0.9736406666666667,0.9736406666666667,0.0317250512931903,6.044918195527963e-06
10,1.68,-190.42053333333334,9.614833247759538,0.3275404562862073,-0.9721026666666667,0.9721026666666667,0.03246545024415272,6.273842021163534e-06
10,1.695,-189.93426666666667,9.830453319263675,0.33636258808127534,0.9705486666666666,0.9705486666666666,0.03356891863349522,6.6482141488033635e-06
10,1.71,-189.48386666666667,10.169720073936263,0.35369244000622446,-0.9690486666666668,0.9690486666666668,0.03510178008148431,7.205467630926891e-06
10,1.725,-188.87866666666667,10.446980978041243,0.36677811066768223,-0.9669946666666666,0.9669946666666666,0.03662541883567871,7.776355390661584e-06
10,1.74,-188.46333333333334,10.640012009182863,0.3739260653836354,-0.3495406666666667,0.9656286666666668,0.9009538661956498,8.378303323114208e-06
10,1.755,-187.86053333333334,10.981961681877342,0.39156656969416326,-0.9637253333333334,0.9637253333333334,0.038983952573106564,8.659535944284334e-06
10,1.77,-187.23013333333333,11.343901679561384,0.4107507590908058,0.044128000000000035,0.9613066666666666,0.961225134719229,1.0116003515379513e-05
10,1.785,-186.5936,11.67884293812248,0.4280782818957494,-0.9591573333333334,0.9591573333333334,0.04396585697510689,1.0829112490506265e-05
10,1.8,-186.02613333333332,11.842493419133584,0.4328538592044087,-0.9573233333333333,0.9573233333333333,0.04459232507456362,1.1047085864197682e-05
10,1.815,-185.24786666666665,12.3619050088928,0.4638927075378626,-0.8874106666666669,0.9544186666666669,0.3545134722680586,1.246557604162647e-05
10,1.83,-184.51013333333333,12.577695760706288,0.4723892342228446,0.6308126666666667,0.951714,0.714358084510998,1.3511232444444133e-05
10,1.845,-183.8072,12.943493661295625,0.49216450572484094,0.42708866666666667,0.9491100000000001,0.8491902991310146,1.473767606142589e-05
10,1.86,-182.94506666666666,13.377659822588138,0.5172903871224601,0.09188066666666664,0.945806,0.9429767528556695,1.6657116652328747e-05
10,1.875,-182.37546666666665,13.54119977878212,0.5215689712324076,0.542018,0.9437673333333334,0.7746341723738589,1.6772447286517315e-05
10,1.89,-181.41253333333333,14.157267259216692,0.5610935199151653,-0.020829333333333314,0.9398693333333334,0.9416663982215546,2.0185729768370385e-05
10,1.905,-180.65293333333332,14.519424164278082,0.5809099635914051,0.2755533333333334,0.9368279999999999,0.8976749600062498,2.1539484248469545e-05
10,1.92,-179.80346666666668,14.734876132797618,0.5889664025848637,-0.11349933333333335,0.9337833333333333,0.9292098119726363,2.2716977719907522e-05
10,1.935,-178.89946666666665,15.306034530500996,0.625696086770677,-0.16385733333333335,0.9300600000000001,0.9181468297497714,2.4967561068042788e-05
10,1.95,-177.89426666666665,15.556812670409776,0.6364613292892217,0.1985426666666667,0.9260933333333332,0.9074365117440572,2.6724878404558686e-05
10,1.965,-176.9876,15.971578284774072,0.6606486617761775,0.024251333333333347,0.9220806666666667,0.924899255503839,2.948602625727961e-05
10,1.98,-176.0492,16.36168632384816,0.6828506768696967,-0.15364466666666668,0.9179779999999998,0.9085441668249021,3.2199889811449425e-05
10,1.995,-175.02746666666667,16.714075273519885,0.7019059233268277,-0.3137526666666667,0.9133766666666667,0.8619944300822883,3.6181444221664815e-05
10,2.01,-173.92826666666667,17.331872018400734,0.7435305751397704,0.10684066666666665,0.9079233333333333,0.9061446197744719,4.07374168601439e-05
10,2.025,-172.6952,17.716580660311777,0.7654375376761643,-0.053770666666666675,0.9025186666666666,0.905981925172658,4.520785013113921e-05
10,2.04,-171.58893333333333,18.231901277583624,0.7987366017770983,0.10848733333333337,0.8974726666666667,0.8964067855459869,4.8320780651415904e-05
10,2.055,-170.34213333333332,18.730346449426815,0.8307454445937686,0.013035333333333335,0.891206,0.8973378034041707,5.419425254176714e-05
10,2.07,-169.0272,19.11466610119047,0.8526930853929005,0.011331333333333332,0.8844193333333334,0.8913839656501693,6.036819400751362e-05
10,2.085,-167.58333333333334,19.845959846332004,0.906008136736012,0.07698333333333333,0.8769526666666667,0.8815910955325162,6.754586935038563e-05
10,2.1,-166.22453333333334,20.180485246450896,0.9234738883950536,-0.1682,0.8697413333333333,0.8623725335762188,7.394114170582127e-05
10,2.115,-164.74586666666667,20.779873666175696,0.9653061260773188,0.04577733333333334,0.8619733333333334,0.8708178277264552,8.236986267402078e-05
10,2.13,-163.4248,21.086155291090883,0.9800214793361031,-0.12153733333333333,0.8552826666666666,0.857170980574795,8.453039170370415e-05
10,2.145,-161.76306666666667,21.805989909400783,1.0334679683959247,-0.022082666666666667,0.844916,0.8572736839342627,0.00010033923672416454
10,2.16,-160.4856,22.135267319521276,1.0501758815729303,-0.064508,0.8378986666666668,0.8487174782788439,0.00010374289073250912
10,2.175,-158.82093333333333,22.81777527416339,1.100596366150824,-0.02385666666666666,0.8274833333333335,0.842318352003696,0.00011650887228607809
10,2.19,-157.0428,23.272897717301987,1.1293087470236243,0.05705333333333333,0.816972,0.8317872547445985,0.00012640123842922309
10,2.205,-155.50466666666668,23.657409936188895,1.151110997760984,0.003253333333333332,0.8079639999999999,0.8258736641615081,0.00013275314302645583
10,2.22,-153.83493333333334,24.117522392005544,1.1802103853763655,0.026584666666666663,0.7969339999999999,0.816395044590274,0.00014461177016816866
10,2.235,-152.13413333333332,24.739348042788478,1.2252407881171012,0.028218,0.7855353333333334,0.8071133074994282,0.00015732611521948757
10,2.25,-150.01413333333332,24.972065731844364,1.2318105025492525,0.0016093333333333363,0.7720679999999999,0.795908568898603,0.00016615130389333426
10,2.265,-148.05613333333332,25.31985352213204,1.2496430125037918,0.005022,0.7595166666666666,0.7850065092188727,0.00017392879936227668
10,2.28,-146.34466666666665,25.789354487634792,1.279414444615444,0.006645333333333327,0.747724,0.7754198859617213,0.00018521482378947265
