L,T,avg_energy,std_energy,specific_heat,avg_magnetization,avg_abs_magnetization,std_magnetization,susceptibility
30,1.35,-1777.3681333333334,14.068923597142113,0.12067344074512676,-0.9932810370370371,0.9932810370370371,0.004419064300836143,1.6072534399048138e-08
30,1.365,-1775.5310666666667,14.599884755100716,0.12711331449654031,-0.9927193333333332,0.9927193333333332,0.004609540103641366,1.7295775309401015e-08
30,1.38,-1773.858,15.128149347050574,0.1335275634595006,-0.9921874814814815,0.9921874814814815,0.004823752410687739,1.873477239903589e-08
30,1.395,-1771.8796,15.707150298722764,0.14086525124947055,-0.9915753333333334,0.9915753333333334,0.005035083886575857,2.0192807443222674e-08
30,1.41,-1769.9534666666666,16.377251539321925,0.1498998865373784,-0.9909604444444445,0.9909604444444445,0.005294272000611678,2.2087719476997008e-08
30,1.425,-1768.0214666666666,16.950376766182973,0.15721228276248025,-0.9903661481481482,0.9903661481481482,0.005481785152249062,2.3430774624226083e-08
30,1.44,-1765.8314666666668,17.395918961513807,0.16215384758404092,-0.9896700740740741,0.9896700740740741,0.0056633502200267955,2.474809854517718e-08
30,1.455,-1763.4564,18.061420183363214,0.1712124320370054,-0.988908888888889,0.988908888888889,0.005950517078199366,2.7039827031473796e-08
30,1.47,-1760.8990666666666,18.899585863070005,0.18366542016729112,-0.9880845185185186,0.9880845185185186,0.006260522387999638,2.9625200733575087e-08
30,1.485,-1758.6476,19.399926483709503,0.1896289985894751,-0.9873448148148148,0.9873448148148148,0.006489512897021129,3.1510495802856584e-08
30,1.5,-1755.9401333333333,20.007788882888143,0.19768474863336227,-0.9864750370370371,0.9864750370370371,0.006730214585963353,3.35524358320006e-08
30,1.515,-1753.1601333333333,20.71561626685423,0.20774373721075623,-0.9855568148148149,0.9855568148148149,0.00703744237078252,3.6322401996375104e-08
30,1.53,-1750.2588,21.299895677991792,0.21534241620886388,-0.984601925925926,0.984601925925926,0.007272354071369811,3.8407504531081243e-08
30,1.545,-1747.7592,21.954246712044874,0.22435595619070184,-0.9837894814814815,0.9837894814814815,0.007548187778764139,4.097456939472477e-08
30,1.56,-1744.278,22.448781318073074,0.23008792765469646,-0.9826395555555556,0.9826395555555556,0.007811566129732056,4.346194116747802e-08
30,1.575,-1741.0409333333334,23.28803250159952,0.24291927226909593,-0.9815234814814816,0.9815234814814816,0.008199116186101783,4.742540122253865e-08
30,1.59,-1737.8244,24.08454202678556,0.2549412007438813,-0.9804605925925927,0.9804605925925927,0.008482732068887819,5.028423714358827e-08
30,1.605,-1734.2468,24.958758444548746,0.26869115663503873,-0.9792241481481482,0.9792241481481482,0.008896174583310252,5.4788454286394386e-08
30,1.62,-1730.5168,25.595137254825055,0.2773590793632642,-0.977946,0.977946,0.0092261668074476,5.8382821645370185e-08
30,1.635,-1726.7252,26.254324436684076,0.28649937045513074,-0.9766193333333334,0.9766193333333334,0.00958256638305192,6.240270369386822e-08
30,1.65,-1722.77,27.176345719516203,0.30141975988854675,-0.9752288888888888,0.9752288888888888,0.009991286162299365,6.722276038862708e-08
30,1.665,-1718.736,27.913373807788503,0.31228683631889825,-0.9737741481481481,0.9737741481481481,0.010469194630366982,7.31424999723941e-08
30,1.68,-1714.3437333333334,28.83868202135612,0.3274083446431513,-0.9722323703703705,0.9722323703703705,0.010867896426413615,7.811585498351872e-08
30,1.695,-1709.82,29.761677820087137,0.3425570480462872,-0.9706331851851852,0.9706331851851852,0.011303944392369807,8.376214934506156e-08
30,1.71,-1705.018,30.398981496096216,0.3511424506685356,-0.9688409629629628,0.9688409629629628,0.011780049021862176,9.016865169435896e-08
30,1.725,-1700.4021333333333,31.08876574341427,0.3608994769350773,0.9671864444444445,0.9671864444444445,0.012147175144186369,9.504274652719023e-08
30,1.74,-1695.3566666666666,32.17607375399027,0.379948812489031,-0.9652756296296297,0.9652756296296297,0.012789887800655672,1.0445800124739042e-07
30,1.755,-1690.1612,32.92827986032675,0.391148201199639,-0.9633241481481483,0.9633241481481483,0.013251970813701181,1.1118374830447343e-07
30,1.77,-1684.8998666666666,33.909437820694635,0.40780461599844414,-0.9613708148148149,0.9613708148148149,0.013785328071383189,1.1929395482452686e-07
30,1.785,-1679.4312,34.850839299697405,0.42355277619321435,-0.9592181481481481,0.9592181481481481,0.01444617311118412,1.2990471058727465e-07
30,1.8,-1673.7182666666668,35.79919682053713,0.4395001690656864,-0.9570395555555556,0.9570395555555556,0.015051567299001745,1.398454803433103e-07
30,1.815,-1667.3034666666667,37.16593657256004,0.46590180671907694,-0.9544153333333333,0.9544153333333333,0.015922171056235796,1.5519775399091898e-07
30,1.83,-1661.5072,37.41338550340863,0.4644183047922361,-0.9520898518518518,0.9520898518518518,0.016309120649399003,1.6149812772115963e-07
30,1.845,-1654.6576,38.770168457720175,0.4906368073219498,-0.9493188888888888,0.9493188888888888,0.017216509124086482,1.7850538176450515e-07
30,1.86,-1647.8504,39.67983895935063,0.5056749077735179,0.9465142962962962,0.9465142962962962,0.01804493685866471,1.9451597743927845e-07
30,1.875,-1641.0050666666666,40.902042014984474,0.5287433611048592,-0.9436904444444444,0.9436904444444444,0.018788899907130396,2.0919867242682508e-07
30,1.89,-1633.2749333333334,42.04207588827597,0.5497967722054553,-0.9403446666666665,0.9403446666666665,0.019739852608886825,2.2907806056487048e-07
30,1.905,-1626.1706666666666,43.547303853268446,0.5806174363910196,-0.9371714074074073,0.9371714074074073,0.020961796774786143,2.5628283699481657e-07
30,1.92,-1618.2584,44.59008442961282,0.5992825368440927,-0.9337460000000001,0.9337460000000001,0.022070207709990856,2.8188314141319675e-07
30,1.935,-1610.3004,45.48454858344754,0.6139363241138538,-0.9301534814814814,0.9301534814814814,0.023016440335972218,3.0419553588257237e-07
30,1.95,-1601.4362666666666,46.52461504116815,0.6324902636362532,0.9260965925925926,0.9260965925925926,0.024109106315241463,3.3119601556672094e-07
30,1.965,-1593.5525333333333,47.759042846169166,0.6563622723596421,0.9223584444444445,0.9223584444444445,0.02531346286768978,3.623247963549595e-07
30,1.98,-1583.6341333333332,49.136224331772,0.6842750007319229,-0.9176555555555556,0.9176555555555556,0.026849702851426058,4.0454912638034576e-07
30,1.995,-1574.1149333333333,50.75503118242456,0.7191672275450895,-0.9128607407407409,0.9128607407407409,0.028740786139712135,4.600572475234563e-07
30,2.01,-1563.8586666666667,51.96820846975154,0.7427469318842794,0.907866962962963,0.907866962962963,0.030254404650153898,5.059861806164788e-07
30,2.025,-1554.8049333333333,53.54722354142702,0.7769290315488442,0.9029793333333332,0.9029793333333332,0.03239519525746908,5.75829177377018e-07
30,2.04,-1543.3318666666667,54.356767114888484,0.7888680985898036,-0.8967714074074074,0.8967714074074074,0.0341532767582826,6.353193427712213e-07
30,2.055,-1531.8796,56.574603582408486,0.8421256144079197,-0.8902891111111111,0.8902891111111111,0.037437984319531215,7.578278831626966e-07
30,2.07,-1520.6798666666666,57.92120781414083,0.8699454452842543,-0.8839848148148148,0.8839848148148148,0.03996939487422592,8.57516117343938e-07
30,2.085,-1508.8526666666667,59.9033701852872,0.9171658700678663,0.6715346666666667,0.876569925925926,0.5652391501078841,1.1080577202296505e-06
30,2.1,-1496.0818666666667,61.676409032807854,0.9584226332028587,0.8690303703703703,0.8690303703703703,0.04656917929657611,1.1474542118289266e-06
30,2.115,-1482.4382666666668,63.86404665899447,1.01309369903073,-0.8597931111111111,0.8597994814814816,0.05244516787275684,1.4392126038878057e-06
30,2.13,-1467.6524,66.30625692627606,1.0767312255734038,-0.015394370370370355,0.8492240000000001,0.8512146735337033,1.8894130945170125e-06
30,2.145,-1454.16,68.65107913694196,1.138145103335432,0.30660540740740744,0.839292962962963,0.7840420399203919,2.2357516367999283e-06
30,2.16,-1438.2325333333333,70.54770344654901,1.1852657897000776,0.19726881481481479,0.8269246666666668,0.8063202681727449,2.707281801867847e-06
30,2.175,-1422.1148,73.49926181688267,1.2688343359907441,0.36754829629629626,0.8136921481481482,0.7305651101000179,3.434083396073305e-06
30,2.19,-1404.5125333333333,75.78873603367602,1.3306951966951135,-0.08113748148148149,0.7977937777777777,0.7989714346449925,4.294131110551653e-06
30,2.205,-1384.8076,79.31970782161686,1.4378133594099083,0.0211862962962963,0.7771814074074074,0.784347756254998,5.8651155823862775e-06
30,2.22,-1365.8328,82.19878858085441,1.5232892451370796,0.07376162962962962,0.7582300740740741,0.764053056311261,7.159662479390266e-06
30,2.235,-1344.1909333333333,85.41223533231185,1.6227163484376934,-0.09334614814814815,0.7306348888888888,0.7378225243015049,9.579040456903697e-06
30,2.25,-1321.7702666666667,88.25717887285745,1.7095922354119224,-0.06014888888888888,0.7030485925925927,0.7173583291493869,1.1823969228712375e-05
30,2.265,-1299.5977333333333,90.97362428122902,1.792470725479809,-0.11172807407407405,0.6724331111111111,0.6848238571514433,1.437360262031608e-05
